gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,pop_weighted
AL_AL336,20.01878905068513,40.295056349575496,AL,AL03,AL033,AL336,Tepelenë,8949,431.49810314,2019,AL_AL336,TRUE
AL_AL337,19.972733398446266,40.360897330217284,AL,AL03,AL033,AL337,Memaliaj,10657,372.29747871,2019,AL_AL337,TRUE
AL_AL341,20.972457594484997,40.62185155103073,AL,AL03,AL034,AL341,Devoll,26716,458.98889851,2019,AL_AL341,TRUE
AL_AL342,20.659199613208305,40.29514030000118,AL,AL03,AL034,AL342,Kolonjë,11070,865.8618997,2019,AL_AL342,TRUE
AL_AL343,20.777986584974677,40.61513930239598,AL,AL03,AL034,AL343,Korçë,75994,806.63561392,2019,AL_AL343,TRUE
AL_AL344,20.763006833145802,40.73771050073592,AL,AL03,AL034,AL344,Maliq,41757,656.84170545,2019,AL_AL344,TRUE
AL_AL345,20.659827098199962,40.897591672860116,AL,AL03,AL034,AL345,Pogradec,61530,595.00633368,2019,AL_AL345,TRUE
AL_AL346,20.913844232039303,40.83237095620393,AL,AL03,AL034,AL346,Pustec,3290,199.65717137,2019,AL_AL346,TRUE
AL_AL351,20.089892424731858,39.950573324064266,AL,AL03,AL035,AL351,Delvinë,7887,183.03192011,2019,AL_AL351,TRUE
AL_AL352,19.77967064430208,40.09288557968242,AL,AL03,AL035,AL352,Himarë,7818,572.23857785,2019,AL_AL352,TRUE
AL_AL353,20.109009283351657,39.69806174343604,AL,AL03,AL035,AL353,Konispol,8245,221.74505278,2019,AL_AL353,TRUE
AL_AL354,20.10366724154474,39.87381553964336,AL,AL03,AL035,AL354,Finiq,7284,441.39440568,2019,AL_AL354,TRUE
AL_AL355,20.005471131432042,39.872749833528445,AL,AL03,AL035,AL355,Sarandë,23183,58.88570906,2019,AL_AL355,TRUE
AL_AL356,19.62638793779475,40.45938799452875,AL,AL03,AL035,AL356,Selenicë,16396,561.50918704,2019,AL_AL356,TRUE
AL_AL357,19.487420151573616,40.466040655861896,AL,AL03,AL035,AL357,Vlorë,104827,617.05644768,2019,AL_AL357,TRUE
